plates mjds fibers
4237 55478 319
4370 55534 410
5869 56064 303
6424 56272 371
7120 56720 773
6319 56452 37
4803 55734 403
6731 56385 885
4049 55591 209
4298 55511 445
4753 55674 577
4466 55857 868
4970 56039 392
6150 56187 647
5981 56340 230
6710 56416 960
6813 56419 21
3834 56014 825
6041 56102 104
5142 55825 990
5741 55980 343
6737 56365 76
4034 55635 707
4791 55889 38
4371 55830 292
4970 56039 549
4707 55653 633
6694 56386 697
7420 56753 411
5880 56042 991
6626 56330 648
4464 55866 752
7148 56591 358
5387 56009 432
5952 56453 986
4783 55652 72
5384 55984 805
3864 55649 130
5370 56003 411
6477 56365 207
5890 56037 659
4776 55652 983
6128 56236 25
5173 56046 396
5191 56065 838
4089 55470 109
4485 55836 740
4576 55592 27
6589 56536 92
4444 55538 616
5791 56255 193
4355 55533 360
5002 55710 879
4233 55449 142
6932 56397 536
5980 56338 387
4802 55652 708
4641 55947 596
3823 55534 740
4351 55538 669
3872 55382 14
5777 56280 606
4377 55828 711
3803 55513 171
5135 55862 517
4544 55855 230
4045 55622 732
6042 56101 219
5350 56009 60
5370 56003 153
7182 56665 886
4263 55484 774
4498 55615 316
5155 55946 428
3781 55243 393
4502 55569 253
3862 55276 657
6002 56104 934
4698 55623 146
4757 55653 343
6660 56370 704
6838 56429 303
4645 55623 332
6437 56340 290
3978 55330 349
3648 55131 780
5853 56045 590
7030 56448 645
3762 55507 238
3657 55131 708
6717 56397 379
5901 56039 534
6449 56356 726
3538 55124 545
6720 56390 554
5451 56010 166
6267 56279 983
5203 56034 854
7261 56603 20
6780 56605 383
4645 55623 358
6489 56329 929
3936 55302 286
5852 56034 24
5455 56009 112
6803 56402 42
6471 56309 208
6409 56306 353
5191 56065 902
6378 56330 597
4397 55921 618
5163 55889 6
7099 56666 371
5801 56328 426
6975 56720 176
6831 56426 957
7029 56455 266
4839 55703 765
5789 56246 72
4529 55563 150
4559 55597 199
6018 56067 223
5289 55893 486
4319 55507 536
3788 55246 604
4306 55584 78
4084 55447 434
5739 55976 48
5796 56274 117
7045 56577 952
6189 56237 606
3765 55508 751
3551 55156 366
4875 55677 514
5952 56453 930
5489 55990 897
3686 55268 188
5351 55952 170
4836 55689 213
7159 56603 404
4184 55450 20
6719 56390 723
7453 56749 435
6019 56074 175
4538 55860 876
3538 55124 477
4452 55536 33
5312 56001 669
4348 55559 300
5894 56039 626
4763 55869 875
5155 55946 957
6485 56342 904
6163 56219 517
4265 55505 104
3586 55181 708
3973 55323 790
