plates mjds fibers
7247 56626 6
7169 56628 204
4007 55327 911
5769 56246 391
4392 55833 329
3655 55240 246
6316 56483 97
6793 56430 341
5794 56282 554
3870 55273 131
7099 56666 393
5433 55981 689
5976 56356 704
5482 56017 89
5126 55923 663
5288 55865 812
5358 56016 840
3966 55571 153
6311 56447 908
5489 55990 858
5384 55984 963
5999 56089 498
5483 56017 738
4368 55559 517
4618 55600 765
5434 56033 826
3804 55267 580
5726 56626 127
4220 55447 724
6519 56566 192
4537 55806 84
5453 56001 870
3946 55298 183
3857 55272 283
6803 56402 514
4372 55541 646
3662 55155 726
7037 56570 34
4286 55499 482
6709 56429 831
6289 56559 295
6587 56537 822
4012 55327 648
6827 56428 525
4094 55481 610
4226 55475 930
6421 56274 565
4622 55629 471
3769 55240 859
4699 55684 714
4558 55569 677
7136 56570 648
6825 56717 947
6427 56328 683
5491 56034 975
7047 56572 621
5853 56045 941
6755 56413 612
5961 56460 119
4776 55652 569
3800 55486 224
6205 56187 761
7453 56749 804
4010 55321 143
4661 55614 993
5417 55978 97
4357 55829 388
6183 56210 7
7318 56738 53
6187 56244 733
6315 56181 960
7235 56603 777
4529 55563 46
6617 56365 699
4445 55869 220
6986 56717 785
4854 55685 45
7316 56710 669
5852 56034 75
5799 56325 944
3782 55244 815
4890 55741 637
3770 55234 71
4208 55476 101
4498 55615 432
4955 55750 994
4507 55564 22
4997 55738 27
6665 56390 836
5462 55978 547
6587 56537 281
6828 56430 949
4853 55928 936
5773 56009 882
6135 56192 909
5494 55857 85
3744 55209 792
4481 55630 963
3699 55517 325
6679 56401 284
3782 55244 490
4200 55499 780
6426 56334 277
4094 55481 332
3650 55244 706
4030 55634 636
4554 56193 231
4351 55538 680
7450 56722 998
5791 56255 760
4839 55703 616
3819 55540 719
4285 55881 101
5703 56190 869
6269 56246 327
5050 56215 814
4493 55585 774
5902 56042 512
3963 55659 176
6122 56246 188
6117 56272 958
4509 55574 152
3688 55273 971
4505 55603 298
7310 56693 61
4305 55509 899
3754 55488 487
6272 56325 943
4471 55617 65
3757 55508 919
5941 56193 910
4023 55328 829
6261 56219 279
4292 55532 14
4234 55478 891
6467 56270 239
7294 56739 875
4779 55656 761
7331 56658 252
6759 56416 300
4089 55470 262
3831 55543 712
5176 56221 395
5319 55953 981
3641 55159 274
4412 55912 847
4570 55623 675
4554 56193 516
4627 55626 300
4870 55923 954
6184 56267 233
6837 56442 249
4460 55533 638
5327 55979 87
4184 55450 532
3829 55300 287
3688 55273 164
4188 55684 123
6037 56160 987
6180 56301 34
6053 56091 397
7096 56683 358
6676 56389 434
5308 55976 301
4225 55455 460
4687 56338 588
5701 55949 615
6717 56397 457
4789 55923 929
4557 55588 775
5490 56003 355
4568 55600 939
6040 56101 1000
4415 55831 629
5848 56029 585
5846 56017 27
5115 55885 147
4277 55506 398
4083 55443 343
5337 55987 852
6172 56269 550
6027 56103 128
6297 56218 403
6509 56486 838
6387 56328 435
7085 56625 453
5737 56381 804
4388 55536 436
5400 56308 473
6717 56397 973
3877 55365 422
3745 55234 108
5437 55973 195
7253 56598 642
4895 55708 548
7243 56629 748
5361 55973 573
6420 56304 500
3766 55213 860
6005 56090 657
7116 56681 696
7090 56659 395
5018 55734 274
4769 55931 233
6169 56193 182
4238 55455 84
7057 56593 258
4762 55888 322
3829 55300 673
6477 56365 58
7115 56667 273
4193 55476 953
3873 55277 958
5770 56014 635
5944 56220 155
6001 56072 121
6656 56624 816
3698 55501 667
4573 55587 243
6599 56567 799
6448 56365 12
4969 56041 65
6730 56425 651
4426 56105 957
4286 55499 150
4466 55857 307
4378 55853 838
5477 56030 118
4650 55648 20
4990 55743 380
4300 55528 914
6057 56099 602
4542 55833 828
4342 55531 537
4036 55330 267
5161 55968 111
3684 55246 681
5898 56045 694
6626 56330 678
4643 55946 590
4426 56105 172
7129 56569 128
5968 56356 523
6709 56429 728
6636 56367 215
6254 56268 571
5368 56001 382
6274 56550 283
4386 55540 260
6474 56362 235
4838 55686 640
4788 55889 149
3686 55268 818
5410 56016 217
6444 56339 412
5392 56010 838
4309 55528 860
4807 55687 279
5793 56337 877
6023 56069 454
5112 55895 762
5942 56210 417
3611 55128 519
4881 55733 526
5483 56017 25
6967 56447 793
6013 56074 742
4715 55653 213
7299 56686 540
4224 55481 426
6152 56164 184
3754 55488 443
4388 55536 481
4385 55752 601
4640 55927 234
6008 56093 357
3789 55269 466
4532 55559 243
6482 56358 170
6829 56453 879
6012 56101 942
7111 56741 908
4206 55471 828
6504 56540 483
5112 55895 341
6173 56238 976
6274 56550 124
5811 56334 923
7168 56625 611
5311 55956 867
5348 55978 931
5879 56047 10
6694 56386 487
4174 55659 92
6673 56419 193
3621 55104 341
6968 56443 757
5016 55709 760
3978 55330 336
6967 56447 349
4510 55559 587
5808 56325 918
4407 55884 746
4363 55537 67
4202 55445 707
6036 56093 96
3961 55654 633
5048 56218 134
7298 56661 234
6464 56309 642
7308 56709 837
7420 56753 568
3862 55276 406
3979 55597 147
6261 56219 544
7042 56573 798
4724 55742 943
6814 56487 204
6736 56366 483
6273 56243 792
6663 56338 129
4747 55652 13
6788 56428 120
3877 55365 235
7320 56722 345
4953 55749 549
5003 55715 447
4205 55454 163
4234 55478 477
6807 56429 223
5883 56033 385
4895 55708 24
5885 56036 324
6749 56370 191
6587 56537 973
4346 56209 1000
4021 55620 422
5338 56002 158
4062 55383 769
5187 56074 546
6695 56628 139
6735 56397 823
5357 55956 351
6032 56067 678
4507 55564 313
4746 55632 100
4696 56354 329
6417 56308 834
5412 55981 751
6003 56311 753
5056 55921 418
5134 55868 538
4691 55651 477
5324 55947 211
3770 55234 813
7109 56658 196
5732 56326 301
3951 55681 572
3588 55127 66
4291 55525 542
5881 56038 696
5359 55953 372
5313 55973 522
4832 55680 132
5199 56067 754
3693 55208 937
3849 55274 222
3770 55234 922
5968 56356 140
3846 55327 664
6397 56365 411
3950 55680 20
5850 56042 95
6834 56478 46
5737 56381 784
4562 55570 123
6125 56273 911
4208 55476 4
7150 56597 180
6742 56415 684
4073 55663 218
6526 56543 337
3980 55331 652
5697 55944 562
4322 55503 718
3879 55244 813
4423 55889 126
5318 55983 627
4301 55810 475
3953 55322 598
6463 56340 146
7126 56568 364
6503 56564 991
5942 56210 118
7328 56715 498
4684 56226 676
5193 56066 656
3872 55382 814
5496 55888 614
5373 56010 258
4353 55532 589
3846 55327 21
7318 56738 751
4988 55825 401
5289 55893 816
5165 56063 26
4350 55556 837
5297 55913 865
3879 55244 667
6601 56335 925
5481 55983 669
4267 55484 823
4866 55895 699
7301 56746 681
3580 55157 491
6465 56279 974
7182 56665 509
7033 56565 462
6675 56415 879
4849 55945 125
6039 56099 429
5991 56076 222
4789 55923 494
6130 56214 76
4016 55632 344
6441 56364 235
6388 56309 64
3538 55124 993
4834 55685 85
3663 55176 544
7030 56448 14
4297 55806 282
4621 55603 112
3808 55513 699
5210 56003 101
6010 56097 848
4700 55709 991
4258 55481 907
4840 55690 342
6734 56386 949
6707 56383 845
4504 55571 722
3787 55565 836
3681 55243 985
6585 56479 295
6023 56069 4
3923 55325 691
5982 56074 587
4026 55325 888
7040 56574 420
6282 56572 185
6382 56365 45
4316 55505 723
4349 55803 475
4021 55620 425
4617 55617 160
6590 56273 489
3845 55323 565
6181 56239 952
3985 55320 67
4978 56036 736
6275 56245 438
6810 56447 659
7255 56597 671
5422 55986 392
5954 56462 752
6426 56334 75
5793 56337 563
4286 55499 51
5856 56090 938
6396 56358 762
7236 56605 566
4763 55869 41
5336 55957 64
6882 56541 706
4228 55484 523
4023 55328 980
5890 56037 942
4042 55626 462
6968 56443 170
6751 56368 511
6162 56191 595
5437 55973 940
6168 56187 276
4879 55706 738
5990 56066 588
6255 56240 640
5117 55925 872
5371 55976 635
5784 56029 761
6685 56412 491
5190 56077 5
5768 56017 114
4004 55321 280
4628 55646 746
7182 56665 173
5354 55927 747
4182 55446 348
6500 56541 933
7086 56658 948
6670 56389 312
5367 55986 179
5133 55860 325
5704 56187 644
3879 55244 473
3839 55575 608
6646 56389 384
5693 56246 697
6278 56266 413
4655 55620 232
4411 56164 161
5945 56213 187
6307 56205 532
7115 56667 103
6452 56366 453
4555 56189 225
7246 56625 796
4802 55652 845
6259 56565 314
4710 55707 87
6794 56448 122
4459 55533 449
6012 56101 133
4279 55508 966
4096 55501 283
5054 56191 466
7328 56715 814
6027 56103 372
6003 56311 861
5414 56014 726
5414 56014 835
5430 56000 971
4641 55947 342
4323 55884 464
7237 56662 328
4703 55617 933
5381 56009 297
7040 56574 649
6496 56363 460
4067 55361 114
5348 55978 422
4408 55888 646
6691 56413 511
6318 56186 508
4717 55742 136
5990 56066 34
4461 55888 453
3801 55509 761
7293 56741 108
5120 55895 677
4625 55632 195
3842 55565 290
4394 55924 738
6477 56365 54
5109 55892 141
4034 55635 915
5149 55944 842
5980 56338 771
4407 55884 402
6801 56487 539
4319 55507 62
4706 55705 864
4391 55866 370
4717 55742 944
5869 56064 852
7047 56572 907
